#List of 666 genes for which we were able to compute clonal frequency
#
#All driver genes stated as major or those with an FDR < 0.1 
#
##geneHGNCsymbol
##Mean VAF = average variant allele frequency of somatic mutations detected in the driver gene across samples of each tumor type.
##Zvalue = Zscore of the gene's average variant allele frequency in the context of all somatic mutations detected in the tumor type.
##Nmutations = Number of mutations observed in the driver across the cohort
##Pvalue = P-value resulting from the statistical test of major drivers
##FDR = Corrected P-value
##TumorType = tumor type
##MeanCCF = Mean CCF of all mutations detected in drivers of the tumor type
###
geneHGNCsymbol	MeanVAF	Nmutations	Zvalue	Pvalue	FDR	TumorType	MeanCCF
ARHGEF6	0.4475	4	1.84616	0.0324344885	0.2221762462	CM	895
MAP3K1	0.3866875281	21	1.84525	0.0325005901	0.1021447117	BRCA	0.7733750562
EGFR	0.391455163	8	1.83085	0.0335614675	0.1655699064	HNSC	0.782910326
ERCC2	0.3700755773	4	1.81851	0.0344931099	0.1172765735	PRAD	0.7401511547
KDM5C	0.5	6	1.79629	0.0362242037	0.0965978766	HC	1
SMARCA4	0.3793152147	6	1.79203	0.0365640803	0.1557635664	LUAD	0.7586304294
GPS2	0.4553787863	4	1.79174	0.036587312	0.1189087639	OV	0.9107575727
ROBO2	0.4520378969	6	1.76993	0.0383694012	0.1808843202	UCEC	0.9040757938
SIN3A	0.4134619944	6	1.76353	0.0389055711	0.2631606627	STAD	0.8269239889
CDH1	0.3859252629	5	1.74503	0.0404898235	0.1557635664	LUAD	0.7718505258
MAP2K1	0.3891283389	5	1.74493	0.0404985273	0.1557635664	LUAD	0.7782566778
EEF1B2	0.4241	4	1.72416	0.0423394815	0.1467768691	BLCA	0.8482
CDK4	0.4306122449	5	1.71688	0.0430005499	0.2805273972	CM	0.8612244898
ARFGEF1	0.4261631822	4	1.70073	0.0444968495	0.2631606627	STAD	0.8523263644
MYH9	0.370096737	13	1.68626	0.0458728659	0.2107993738	HNSC	0.740193474
GPS2	0.3541147335	24	1.67515	0.0469524024	0.1525953079	BLCA	0.7082294671
FGFR2	0.4246586841	15	1.66746	0.0477114859	0.2099305380	UCEC	0.8493173682
TNPO2	0.4260179883	4	1.65101	0.0493682665	0.2631606627	STAD	0.8520359766
HLA-A	0.3823603346	8	1.63894	0.0506128781	0.2107993738	HNSC	0.7647206692
NUP98	0.3926548611	4	1.63673	0.0508434488	0.1815837458	LUAD	0.7853097223
CUL1	0.3933609589	7	1.63261	0.0512755234	0.2107993738	HNSC	0.7867219178
CASP8	0.4170191014	5	1.62938	0.0516163	0.2631606627	STAD	0.8340382029
IRF7	0.4209355329	6	1.62395	0.0521932401	0.3250215404	CM	0.8418710658
DDX3X	0.4109546412	4	1.62029	0.052584998	0.1608482292	BLCA	0.8219092823
ATM	0.2967380898	14	1.61664	0.0529780062	0.1501043508	PRAD	0.5934761796
PIK3R1	0.4131441506	25	1.61232	0.0534461617	0.2204654169	UCEC	0.8262883013
ARFGEF2	0.4057667176	8	1.59977	0.0548248082	0.3265651618	CM	0.8115334353
PIK3R1	0.4210980443	5	1.59299	0.0555812172	0.1667436516	BRCA	0.8421960886
SMAD4	0.4070240855	6	1.57864	0.0572093272	0.2631606627	STAD	0.814048171
PIK3CA	0.3451971694	9	1.57197	0.0579787544	0.1449468860	LGG	0.6903943389
EIF4A2	0.3740481226	16	1.57192	0.0579845528	0.2631606627	STAD	0.7480962453
CYLD	0.3791845268	8	1.57035	0.0581668539	0.2265445890	HNSC	0.7583690535
PTEN	0.3605776183	12	1.56949	0.0582669039	0.2051209331	LUSC	0.7211552366
FUBP1	0.387920777	6	1.53809	0.0620133054	0.2051209331	LUSC	0.775841554
RHOA	0.3833424502	7	1.53577	0.0622974	0.1799702666	BLCA	0.7666849003
ZMYM2	0.4194619892	4	1.52639	0.0634563833	0.2674233296	STAD	0.8389239783
NFE2L2	0.3793927342	8	1.48857	0.0683003182	0.1869271866	BLCA	0.7587854684
KRAS	0.3719017828	4	1.46633	0.0712792032	0.1140467251	THCA	0.7438035655
FMR1	0.4018397784	4	1.45982	0.0721697752	0.2156831540	LUSC	0.8036795568
LDHA	0.4194283043	5	1.44589	0.0741040286	0.4230104965	CM	0.8388566086
ARID1B	0.3985270423	4	1.43785	0.0752383095	0.2156831540	LUSC	0.7970540846
PTPRU	0.4091972026	6	1.43457	0.0757048343	0.2172399592	BRCA	0.8183944052
MAP3K4	0.4155860727	5	1.42824	0.0766113955	0.1973844520	GBM	0.8311721454
ELF4	0.4026732932	4	1.41049	0.0791975236	0.2930308372	HNSC	0.8053465863
BRCA2	0.4332101148	4	1.40946	0.0793495966	0.2063089512	OV	0.8664202297
STAG2	0.4045187716	7	1.39724	0.0811707059	0.4355380961	CM	0.8090375432
STARD13	0.3973221219	6	1.39216	0.0819369762	0.3222854399	STAD	0.7946442438
POLR2B	0.391193055	10	1.38742	0.0826568649	0.4355380961	CM	0.7823861099
ARNTL	0.4499096986	4	1.38537	0.0829696797	0.3196356922	UCEC	0.8998193973
MGA	0.3933647529	9	1.38242	0.0834213893	0.2249402088	BRCA	0.7867295058
TJP1	0.3724560592	4	1.37603	0.0844061728	0.1918322108	LGG	0.7449121184
TGFBR2	0.3632004579	11	1.37515	0.0845424729	0.2979115712	HNSC	0.7264009158
GATA3	0.3979185711	7	1.37089	0.0852046246	0.2249402088	BRCA	0.7958371423
PIK3CA	0.3556373302	24	1.36909	0.0854855719	0.1973844520	GBM	0.7112746604
IDH1	0.4485765797	18	1.36672	0.0858565433	0.6868523461	LAML	0.8971531594
MLH3	0.4454401039	4	1.34576	0.0891899647	0.3196356922	UCEC	0.8908802079
STAG2	0.3758008993	11	1.34248	0.0897202054	0.1973844520	GBM	0.7516017986
AHNAK	0.3690699506	39	1.34141	0.0898936863	0.4561272231	CM	0.7381399011
ZNF750	0.3548734789	14	1.33543	0.0908678257	0.3056463229	HNSC	0.7097469577
KRAS	0.3579589028	5	1.32397	0.0927565042	0.2593822723	LUAD	0.7159178056
CSDE1	0.4106043599	4	1.3204	0.0933507518	0.3290748479	STAD	0.8212087198
CUX1	0.4220238701	10	1.31148	0.0948478232	0.3196356922	UCEC	0.8440477403
MTOR	0.3839845038	11	1.31045	0.0950218242	0.2412092460	BRCA	0.7679690076
EZH2	0.3661543165	4	1.31018	0.095067475	0.2593822723	LUAD	0.732308633
HSP90AA1	0.366822629	4	1.3011	0.0966121139	0.2593822723	LUAD	0.733645258
CDH1	0.3631178521	17	1.29796	0.0971505402	0.3290748479	STAD	0.7262357041
SVEP1	0.3248627385	15	1.29159	0.0982495845	0.2593822723	LUAD	0.649725477
CTNNB1	0.3663631803	4	1.28977	0.0985652635	0.2593822723	LUAD	0.7327263606
NUP98	0.3899788242	11	1.28758	0.0989461025	0.4841291445	CM	0.7799576483
PRPF8	0.4202708914	11	1.28622	0.0991831465	0.3196356922	UCEC	0.8405417828
POLR2B	0.3775082642	9	1.2793	0.1003957163	0.3290748479	STAD	0.7550165283
FBXW7	0.4140031992	4	1.27801	0.1006229502	0.2459672115	BRCA	0.8280063984
SMAD4	0.3635713055	7	1.26734	0.1025168719	0.2755140931	LUSC	0.727142611
FBXW7	0.4053812431	30	1.25438	0.1048519592	0.3196356922	UCEC	0.8107624863
SETD2	0.3909028821	4	1.25145	0.1053851725	0.2545342401	BLCA	0.7818057643
CDKN1A	0.3721627177	6	1.24057	0.1073823201	0.2545342401	BLCA	0.7443254353
HRAS	0.3644227816	9	1.23892	0.1076875631	0.2545342401	BLCA	0.7288455633
NRAS	0.3790198978	16	1.23813	0.1078339309	0.2965433099	COREAD	0.7580397956
DICER1	0.4156206568	12	1.23031	0.1092905205	0.3196356922	UCEC	0.8312413136
XRN1	0.3914061543	8	1.20577	0.1139530929	0.5222190390	CM	0.7828123085
NFE2L2	0.3285974174	30	1.20366	0.1143605093	0.2892648176	LUSC	0.6571948348
CTCF	0.3990926166	46	1.20327	0.1144359272	0.3196356922	UCEC	0.7981852331
CIC	0.388578506	9	1.20006	0.1150580195	0.5222190390	CM	0.777157012
ZFHX3	0.4061102506	27	1.19404	0.1162311608	0.3196356922	UCEC	0.8122205012
SRGAP3	0.3904288288	5	1.18049	0.1189026927	0.3692241510	STAD	0.7808576577
ZMYM2	0.3828254053	4	1.17288	0.1204219655	0.2722583567	BLCA	0.7656508105
IREB2	0.4049667551	5	1.16161	0.1226969591	0.5222190390	CM	0.8099335102
RHOA	0.3881178015	4	1.15552	0.1239387737	0.3956047485	HNSC	0.7762356029
SETD2	0.4171905556	4	1.15409	0.1242316364	0.2691685455	OV	0.8343811112
BAP1	0.3992390691	6	1.15267	0.1245229297	0.5222190390	CM	0.7984781383
ARID5B	0.4170396704	11	1.14949	0.1251769939	0.3210695201	UCEC	0.8340793407
PPP2R5C	0.4306386528	5	1.14318	0.1264819322	0.3210695201	UCEC	0.8612773056
RGS3	0.384710355	10	1.13948	0.1272515027	0.5222190390	CM	0.7694207101
ERBB3	0.3713428218	6	1.13881	0.127391205	0.2760142775	BLCA	0.7426856435
RGS3	0.3642412585	5	1.1234	0.1306338249	0.3120696928	LUSC	0.728482517
TBL1XR1	0.4327233083	4	1.10912	0.133689209	0.3267958443	UCEC	0.8654466165
FOXP1	0.3796388702	4	1.1038	0.1348399524	0.3956047485	HNSC	0.7592777405
FN1	0.3506021671	11	1.10017	0.1356290295	0.3956047485	HNSC	0.7012043343
MAP3K11	0.3971851027	6	1.09829	0.1360389386	0.5222190390	CM	0.7943702054
NCF2	0.3954226492	6	1.0975	0.1362114404	0.5222190390	CM	0.7908452985
CYTH4	0.400530475	5	1.09287	0.1372254409	0.5222190390	CM	0.80106095
MLH1	0.3913441514	4	1.09099	0.1376386414	0.4060339922	STAD	0.7826883029
NOTCH1	0.3814638589	4	1.08495	0.1389719005	0.2890615531	BLCA	0.7629277178
NOTCH2	0.3755845715	4	1.08484	0.138996263	0.3956047485	HNSC	0.7511691431
FAT2	0.3460619586	12	1.05797	0.1450345599	0.3975021270	HNSC	0.6921239173
CTNNB1	0.399462682	5	1.05445	0.1458384704	0.5350462915	CM	0.7989253641
KDM5C	0.4009433962	4	1.04329	0.1484070006	0.5350462915	CM	0.8018867925
CHD4	0.2998339959	5	1.02775	0.1520337207	0.3692247503	PRAD	0.5996679918
RAC1	0.3505269991	8	1.02258	0.1532532349	0.4050264066	HNSC	0.7010539982
SF3A3	0.3949516795	5	1.01849	0.1542225754	0.5385684787	CM	0.7899033591
PIK3CA	0.3867146701	7	1.00725	0.1569073254	0.3451961159	COREAD	0.7734293403
ACSL3	0.4018242123	4	1.00584	0.1572462712	0.5385684787	CM	0.8036484245
LAMA2	0.3294296847	40	0.99812	0.1591105865	0.4060063242	HNSC	0.6588593694
SEC31A	0.4265671021	5	0.97628	0.1644628641	0.3876624654	UCEC	0.8531342043
ACVR1B	0.3397246851	5	0.97468	0.1648595084	0.4102656429	LUAD	0.6794493701
NF1	0.3725628546	10	0.95775	0.1690944187	0.3985797012	BRCA	0.7451257091
MET	0.3481587738	4	0.94507	0.17231157	0.4102656429	LUAD	0.6963175476
CDC73	0.3823586643	4	0.92131	0.1784443008	0.5013435119	STAD	0.7647173286
NTN4	0.3694547717	16	0.91148	0.1810212594	0.5943560081	CM	0.7389095434
COL1A1	0.3647469273	24	0.90697	0.182211331	0.5943560081	CM	0.7294938546
LPHN2	0.3876329367	5	0.88762	0.1873725959	0.4264341837	BRCA	0.7752658734
NF1	0.3411853799	8	0.88724	0.1874748506	0.4242851881	LUSC	0.6823707597
MAP3K4	0.340253692	4	0.8739	0.1910863574	0.4342871758	LUAD	0.680507384
PPP2R1A	0.4167664485	6	0.86047	0.1947650069	0.4261410527	UCEC	0.833532897
PIK3CA	0.337176611	15	0.85914	0.1951316406	0.4759659976	HNSC	0.674353222
PTEN	0.3774416643	8	0.85628	0.1959214606	0.6242148860	CM	0.7548833285
MGA	0.4019513716	16	0.85417	0.1965054015	0.4261410527	UCEC	0.8039027431
EIF4A2	0.4100600197	8	0.84106	0.2001571611	0.4261410527	UCEC	0.8201200394
ACTB	0.3608837632	4	0.82413	0.2049328479	0.4759659976	HNSC	0.7217675265
APC	0.3307882064	22	821	0.2058231341	0.4759659976	HNSC	0.6615764127
MAX	0.405853689	11	0.80971	0.2090534346	0.4311727089	UCEC	0.811707378
ACVR2A	0.3880030722	4	0.78698	0.215646787	0.6714456778	CM	0.7760061444
HNRPDL	0.3754680582	4	0.78475	0.2163000804	0.5800774885	STAD	0.7509361165
SMAD2	0.3801897343	7	0.78238	0.216995642	0.3600313800	COREAD	0.7603794685
SPTAN1	0.3513363814	4	0.78099	0.2174041881	0.4674190045	LUSC	0.7026727629
KDR	0.3127983967	9	0.74992	0.2266514441	0.4927205306	LUAD	0.6255967934
PIK3R1	0.3410008232	16	0.72137	0.2353409496	0.4706818993	GBM	0.6820016463
ARID2	0.3576395961	35	0.72	0.2357624978	0.7135065764	CM	0.7152791923
ATM	0.395200411	31	0.70496	0.2404175646	0.4712067322	UCEC	0.790400822
U2AF1	0.4495370984	4	0.70419	0.2406572289	1.0000000000	LAML	0.8990741968
LNPEP	0.3749115921	7	0.69319	0.2440951615	0.7135065764	CM	0.7498231841
CCT5	0.3825786826	4	0.69101	0.2447796284	0.7135065764	CM	0.7651573652
KRAS	0.3943794163	33	0.6878	0.2457893681	0.4712067322	UCEC	0.7887588326
ATM	0.3740957796	7	0.68599	0.2463597072	0.3600313800	COREAD	0.7481915591
MYH10	0.4003911934	12	0.67486	0.249882358	0.4712067322	UCEC	0.8007823869
NTRK2	0.326909264	4	0.66992	0.2514543947	0.5238633224	LUAD	0.6538185279
NUP98	0.3752722347	4	0.65284	0.2569297166	0.5652453766	BRCA	0.7505444694
FBXW7	0.3703340876	8	0.63768	0.2618410036	0.3600313800	COREAD	0.7406681752
CTNND1	0.4031948878	9	0.63235	0.2635790991	0.4795495273	UCEC	0.8063897757
MAP2K1	0.3768606082	6	0.61681	0.2686800276	0.7523987183	CM	0.7537212165
PPP2R5A	0.4083869172	5	0.61633	0.2688383714	0.4795495273	UCEC	0.8167738344
HRAS	0.3292128942	15	0.60054	0.2740732056	0.5917664605	HNSC	0.6584257885
STAG2	0.4402682806	6	0.59421	0.2761858326	1.0000000000	LAML	0.8805365612
MAT2A	0.371902968	6	0.59364	0.2763764607	0.7523987183	CM	0.743805936
PIK3CB	0.372685758	4	0.58928	0.2778367295	0.5915233596	BRCA	0.745371516
PIK3R1	0.2953042485	6	0.58747	0.2784440465	0.5800917636	LGG	0.5906084971
ATRX	0.3276638657	13	0.58687	0.2786455097	0.5917664605	HNSC	0.6553277314
NUP107	0.3550528778	6	0.58593	0.2789612781	0.7122758709	STAD	0.7101057557
PSMA6	0.3822386319	4	0.58302	0.2799399183	0.7523987183	CM	0.7644772639
ANK3	0.3490922551	215	0.57791	0.2816624418	0.7523987183	CM	0.6981845102
PIK3R1	0.3452344716	4	0.56338	0.2865880765	0.5917664605	HNSC	0.6904689432
EIF4G3	0.3683571394	8	0.56267	0.2868298081	0.7523987183	CM	0.7367142787
LPHN2	0.3395327649	5	0.55957	0.2878863862	0.5917664605	HNSC	0.6790655299
EIF4G1	0.3526622435	6	0.55308	0.2901043155	0.7122758709	STAD	0.7053244869
ITSN1	0.3615124026	14	0.55025	0.2910739567	0.7523987183	CM	0.7230248052
AFF4	0.3662807347	9	0.53115	0.2976574191	0.7530251729	CM	0.7325614694
ERBB3	0.3948910011	18	0.52546	0.2996317265	0.5204129986	UCEC	0.7897820023
DDX5	0.3744747899	4	0.51777	0.302309376	0.7530251729	CM	0.7489495798
TBX3	0.3689311876	5	0.51489	0.3033149446	0.6197462564	BRCA	0.7378623752
SMARCA4	0.3498331462	5	0.50526	0.3066881167	0.7122758709	STAD	0.6996662924
BRCA1	375	4	0.50522	0.3067021623	0.5695897299	OV	0.75
EFTUD2	0.3152102005	5	0.50015	0.3084847309	0.6132396932	LUAD	0.630420401
SRGAP1	0.3571890923	10	0.49621	0.3098731282	0.6197462564	BRCA	0.7143781845
MYH9	0.3497176502	6	0.48487	0.3138842821	0.7122758709	STAD	0.6994353004
MAP4K3	0.3707237907	5	0.4833	0.31444137	0.7692583517	CM	0.7414475814
NUP93	0.3998861753	7	0.47902	0.3159622003	0.5282825509	UCEC	0.7997723507
TCF12	0.3013886543	5	0.47082	0.3188846405	0.6132396932	LUAD	0.6027773087
ARHGAP35	0.3945227977	18	0.46722	0.320171243	0.5282825509	UCEC	0.7890455954
CEBPA	0.4338296112	7	0.45545	0.3243927655	1.0000000000	LAML	0.8676592225
FOXP1	0.3626603565	4	0.44829	0.3269719584	0.6347102721	BRCA	0.725320713
PPP6C	0.356597454	16	0.44701	0.3274339198	0.7797164441	CM	0.7131949079
SPOP	0.3964691506	14	0.44194	0.3292663122	0.5287594915	UCEC	0.7929383012
MSR1	0.356752698	17	0.43964	0.3300989325	0.7797164441	CM	0.7135053961
ARID1A	0.3661403373	5	0.43604	0.3314038541	0.4050491550	COREAD	0.7322806746
ANK3	0.3370326476	5	0.43584	0.33147641	0.6586743590	BLCA	0.6740652952
PIK3CB	0.3492057362	4	0.43247	0.3326999258	0.6099498640	GBM	0.6984114724
DEPDC1B	0.3987692669	5	0.42208	0.3364833128	0.5287594915	UCEC	0.7975385338
MACF1	0.3456624119	8	0.41822	0.3378931372	0.7383590775	STAD	0.6913248238
DDX3X	0.291268585	4	0.41488	0.3391148758	0.6206206768	LGG	0.58253717
SF3B1	0.3323732595	5	407	0.3420039941	0.6586743590	BLCA	0.664746519
NUP107	0.3328884281	4	0.40665	0.3421325342	0.6842650685	HNSC	0.6657768562
FOXA2	0.3988083766	6	0.39842	0.3451603089	0.5297809392	UCEC	0.7976167532
EIF1AX	0.2762148338	8	0.39195	0.347547579	0.6206206768	LGG	0.5524296675
EPHA2	0.3293731756	6	0.35698	0.3605533892	0.7021302841	HNSC	0.6587463512
HDAC9	0.3583263742	8	0.34774	0.3640177268	0.8452615012	CM	0.7166527483
RASA1	0.3421962085	6	0.32999	0.3707037591	0.7801163935	STAD	0.6843924169
ARID1B	0.2777198369	4	0.31901	0.3748594649	0.6247657748	LGG	0.5554396737
TJP2	0.3265090315	4	0.30895	0.3786797808	0.7185206096	HNSC	0.653018063
